SK_ID_CURR,EXT_SOURCE_3,EXT_SOURCE_2,BURO_CREDIT_ACTIVE_Closed_MEAN,DAYS_BIRTH,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,DAYS_EMPLOYED,BURO_DAYS_CREDIT_UPDATE_MEAN,DAYS_EMPLOYED_PERC,ACTIVE_DAYS_CREDIT_MEAN,REGION_RATING_CLIENT_W_CITY,NAME_INCOME_TYPE_Working,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,NAME_EDUCATION_TYPE_Higher education,PREV_CODE_REJECT_REASON_SCOFR_MEAN,DAYS_LAST_PHONE_CHANGE,CODE_GENDER,APPROVED_DAYS_DECISION_MIN,DAYS_ID_PUBLISH
100001,0.1595195404777181,0.7896543511176771,0.5714285714285714,-19241,0.0,-2329.0,-93.14285714285714,0.1210436048022452,-309.3333333333333,2,1,0.0,1,0.0,-1740.0,0,-1740.0,-812
100005,0.4329616670974407,0.2916555320093651,0.3333333333333333,-18064,0.0,-4469.0,-54.333333333333336,0.2473981399468556,-99.5,2,1,0.0,0,0.0,0.0,1,-757.0,-1623
163667,0.3154721549257734,0.5382390728716657,0.5714285714285714,-16462,0.0,-816.0,-888.5714285714286,0.0495687036812052,-1119.6666666666667,3,0,0.0,0,0.0,-1430.0,0,-2703.0,0
163684,0.2498850627504553,0.293792453443047,0.6,-12793,0.0,-2306.0,-566.8,0.1802548268584382,-308.5,1,0,0.0,1,0.0,-688.0,0,-688.0,-4488
163714,0.4031416766587513,0.3628344801108751,0.3333333333333333,-18047,0.0,-1390.0,-868.0,0.0770211115420845,-914.0,2,1,0.5,0,0.0,-1055.0,1,-1055.0,-1525
163728,0.3962195720630885,0.4829681620982723,0.375,-10176,0.4,-645.0,-283.0,0.0633844339622641,-418.0,2,0,0.4,0,0.0,-920.0,0,-920.0,-2835
163742,0.501075160239048,0.5651447414958177,0.0,-13392,0.2857142857142857,-1210.0,-7.0,0.0903524492234169,-219.0,3,1,0.0,0,0.0,-1967.0,0,-2762.0,-4124
163743,,0.5305565049935655,,-14890,0.0,-816.0,,0.0548018804566823,,2,1,0.0,0,0.0,-344.0,0,-344.0,-2376
163748,,0.3593232704878529,,-11849,0.0,-2262.0,,0.1909021858384673,,2,0,0.0,0,0.0,-572.0,0,-572.0,-3038
163802,0.180887977767074,0.640322698119557,0.7142857142857143,-9996,0.0,-782.0,-162.14285714285714,0.0782312925170068,-281.5,2,1,0.0,0,0.0,-814.0,1,-814.0,-2306
163855,0.2778856891082046,0.1968948848342971,1.0,-14011,0.6666666666666666,-1748.0,-84.0,0.124759117835986,,2,1,0.0,0,0.0,-287.0,1,-1963.0,-4550
163900,0.1245194708919845,0.631060534362544,0.3636363636363636,-20312,0.6,-1638.0,-207.9090909090909,0.0806419850334777,-574.8571428571429,2,1,0.2,0,0.0,-379.0,1,-379.0,-3737
163907,0.2353105173615833,0.1903536500108488,0.5,-10848,0.0,-2087.0,-140.75,0.1923856932153392,-442.0,2,1,0.3333333333333333,1,0.0,-446.0,0,-1727.0,-2005
163934,0.6178261467332483,0.3998382592540258,0.5,-15897,0.5,-583.0,-1023.8333333333334,0.0366735862112348,-689.0,2,1,0.25,0,0.0,-611.0,0,-611.0,-4460
163965,0.2692857999073816,0.4912939988353914,0.6666666666666666,-19513,0.25,-1103.0,-704.0666666666667,0.0565264182852457,-475.8,3,0,0.0,0,0.0,-1075.0,0,-2860.0,-3030
163988,,0.4350739380118343,,-8256,0.0,-983.0,,0.1190649224806201,,2,1,0.0,0,0.0,-378.0,0,-676.0,-866
163989,0.511891801533151,0.4575662874378743,0.5,-15705,0.1666666666666666,-589.0,-448.5,0.0375039796243234,-240.0,2,1,0.0,0,0.0,-1314.0,0,-2468.0,-5237
164106,,0.057347533914273,,-9306,0.6666666666666666,-905.0,,0.0972490866107887,,3,1,0.0,0,0.6666666666666666,0.0,1,-504.0,-1981
164117,0.2498850627504553,0.3054006658212913,1.0,-14819,0.0,-903.0,-831.0,0.0609352857817666,,3,1,0.0,0,0.0,-2854.0,1,-2854.0,-4680
164133,0.6296742509538716,0.4148508609012869,0.0,-11483,0.5,-957.0,-116.0,0.0833405904380388,-506.0,3,0,0.0,0,0.5,0.0,1,-531.0,-1702
164147,,0.5976281554320185,,-20785,0.25,,,,,2,0,0.0,0,0.0,0.0,0,-252.0,-375
164148,0.221335206354466,0.5542433122649527,0.3333333333333333,-24160,0.2,,-100.33333333333331,,-256.5,2,0,0.2,0,0.0,-1242.0,0,-1242.0,-5462
164150,,0.2153933757478088,0.0,-10792,0.0,-663.0,-46.0,0.0614343958487768,-220.0,2,1,0.0,1,0.0,-293.0,0,-293.0,-1735
164152,0.4507472818545589,0.4868734173045201,0.0,-14542,0.25,-441.0,-5.0,0.0303259524136982,-167.0,2,1,0.0,0,0.0,-2726.0,0,-2726.0,-4961
164156,0.2955826421513093,0.4145323956819023,0.5,-11328,0.0,-1154.0,-181.0,0.1018714689265536,-203.0,2,0,0.0,0,0.0,0.0,0,-1302.0,-396
164166,0.1735274304649146,0.5151514778524197,0.6666666666666666,-10756,0.3103448275862069,-644.0,-517.2857142857143,0.0598735589438452,-843.2857142857143,2,0,0.1724137931034483,0,0.1379310344827586,0.0,1,-2725.0,-3439
164207,0.228883416700673,0.0426698367494666,0.2,-9525,0.4666666666666667,-867.0,-215.4,0.0910236220472441,-415.75,2,0,0.2,0,0.0,-17.0,0,-804.0,-869
164240,0.5849900404894085,0.2935248386073387,0.8,-12141,0.5,-480.0,-420.2,0.0395354583642204,-224.0,3,1,0.4,1,0.0,-1602.0,0,-2358.0,-4690
164276,0.6313545365850379,0.2282355666327582,0.6666666666666666,-11575,0.0,-1684.0,-480.3333333333333,0.1454859611231101,-160.0,2,1,0.0,1,0.0,-1143.0,0,-1143.0,-3843
164281,0.190705947811054,0.5398528377289878,0.0,-9768,0.0,-1083.0,-39.0,0.1108722358722358,-132.0,2,0,0.0,0,0.0,-808.0,1,-808.0,-2409
164300,0.1624419982223248,0.6855203533072975,0.6111111111111112,-12874,0.3333333333333333,-956.0,-246.61111111111111,0.0742581948112474,-706.0,2,1,0.0,0,0.0,-793.0,0,-793.0,-3245
164305,0.1674084472266241,0.6077234374525043,0.7692307692307693,-17767,0.0,-448.0,-930.7692307692308,0.0252152867676028,-524.0,2,0,0.0,0,0.0,-1961.0,0,-1961.0,-1306
164343,0.2594676548211199,0.3852030679450741,0.5714285714285714,-21505,0.0,-7563.0,-696.0952380952381,0.3516856544989537,-918.2222222222222,2,1,0.0,0,0.0,-2057.0,0,-2296.0,-987
164373,0.4101025731788671,0.4568336644928394,1.0,-17496,0.4285714285714285,-4491.0,-698.875,0.2566872427983539,,2,1,0.0,0,0.0,-1967.0,0,-2718.0,-1050
164410,0.4650692149562261,0.0178314110990564,0.3333333333333333,-19474,0.0,,-392.6666666666667,,-484.5,2,0,0.0,0,0.0,-697.0,0,-697.0,-2952
164445,0.4365064990977374,0.3922645154140593,0.25,-20344,0.0,,-130.0,,-457.3333333333333,2,0,0.0,0,0.0,-443.0,0,-443.0,-1869
164513,,0.3431803158447429,,-13150,0.0,-1364.0,,0.1037262357414448,,3,1,0.0,0,0.0,-588.0,0,-588.0,-287
164526,,0.1191522575701222,1.0,-12482,0.4,-2590.0,-93.0,0.2074987982695081,,2,1,0.2,0,0.0,-518.0,0,-1630.0,-4177
164528,,0.1503775964478831,1.0,-13647,0.0,-227.0,-5.0,0.0166336923866051,,3,1,0.0,1,0.0,0.0,0,-164.0,-4961
164555,0.1221797440301585,0.2694410361652425,0.0,-8929,0.2857142857142857,-1331.0,-16.0,0.1490648448874454,-503.0,2,1,0.0,0,0.1428571428571428,0.0,1,-2177.0,-908
